AABB,28438,Invalid Data,Invalid Data,Invalid Data,Invalid Data,Invalid Data,Invalid Data,Invalid Data,Invalid Data,Invalid Data,Invalid Data,Invalid Data,Invalid Data,Invalid Data,Invalid Data,Invalid Data,Invalid Data,Invalid Data,Invalid Data,Invalid Data,Invalid Data,Invalid Data,Invalid Data,Invalid Data,Invalid Data,Invalid Data,Invalid Data,Invalid Data,Invalid Data
AABB,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,Invalid Data,Invalid Data,Invalid Data,Invalid Data,Invalid Data,Invalid Data,Invalid Data,Invalid Data,Invalid Data,Invalid Data,Invalid Data,Invalid Data
AABB,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438
AABB,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438,28438
